time,time_sec,signal,pred_signal_linreg,residuals,FT_1,FT_2,FT_3,FT_4,FT_5,FT_6,FT_All,weekDate
2024-05-21 22:00:00,1807200.0,93,65.92212657920729,27.077873420792713,-5838.839995165985,3612.545892432978,167.09620656550223,2759.6493097626562,-1648.1332339191704,654.7669584463384,-292.91486187768066,1
2024-05-21 23:00:00,1810800.0,30,65.91230148728344,-35.91230148728344,-10716.803258329712,1036.0970354880076,291.84804078067333,1202.278007496016,-2003.5840311674099,-1802.8054068459082,-11992.969612578332,1
2024-05-22 00:00:00,1814400.0,10,65.9024763953596,-55.9024763953596,-14864.434089792976,-1817.9731853962724,416.0795842202533,-2137.3044180668635,-1887.8655936858418,278.4337893647115,-20013.06391335699,2
2024-05-22 01:00:00,1818000.0,2,65.89265130343576,-63.892651303435755,-17999.0783026753,-4184.918959391949,539.5693636616841,-2308.6281846510024,-1328.1906396755346,1658.6774718706044,-23622.569250861496,2
2024-05-22 02:00:00,1821600.0,2,65.88282621151191,-63.88282621151191,-19907.115074113903,-5430.5190778290835,662.0972282588219,942.2705335705241,-456.1741229773953,-1137.0284281699478,-25326.46894126098,2
2024-05-22 03:00:00,1825200.0,4,65.87300111958807,-61.87300111958807,-20458.514851314685,-5221.0159948800165,783.4447420148546,2796.3833041049593,523.1177608045824,-1070.1082478038654,-22646.693287074173,2
2024-05-22 04:00:00,1828800.0,5,65.86317602766422,-60.863176027664224,-19615.7006506928,-3612.545892433023,903.3955731981268,505.24397944770635,1379.3915973283908,1690.9572178758108,-18749.25817527579,2
2024-05-22 05:00:00,1832400.0,11,65.85335093574038,-54.85335093574038,-17436.108867204126,-1036.097035488066,1021.7358800064968,-2534.84977549604,1911.2832900559854,194.80438292419007,-17879.23212520156,2
2024-05-22 06:00:00,1836000.0,37,65.84352584381654,-28.843525843816536,-14068.275078947712,1817.9731853962162,1138.254691792883,-1817.37877619198,1993.7114858106881,-1791.795386616261,-12727.509878756164,2
2024-05-22 07:00:00,1839600.0,79,65.83370075189269,13.166299248107308,-9741.711592985277,4184.91895939191,1252.7442851722212,1594.1052966089353,1607.2921062060925,732.6971590420665,-369.9537865640509,2
2024-05-22 08:00:00,1843200.0,98,65.82387565996885,32.17612434003115,-4751.266560900022,5430.519077829073,1365.0005543393816,2642.5483975144134,842.8967695725659,1412.5234285110616,6942.221666866473,2
2024-05-22 09:00:00,1846800.0,105,65.814050568045,39.185949431954995,562.9694354713522,5221.015994880036,1474.823374937907,-226.22159084511003,-119.71686971150181,-1463.8730889464186,5448.997255786264,2
2024-05-22 10:00:00,1850400.0,94,65.80422547612116,28.19577452387884,5838.839995166331,3612.5458924328304,1582.0169608307492,-2759.6493097626285,-1054.1775066713544,-654.7669584462737,6564.809073549654,2
2024-05-22 11:00:00,1854000.0,91,65.79440038419733,25.20559961580267,10716.803258329523,1036.0970354881247,1686.390213137157,-1202.2780074961527,-1740.7343864834156,1802.8054068459157,12299.083519821152,2
